month,Log_return,Raw_return,MV,cpi
1995-01-31,-0.14113893766204466,-0.13163134579468116,0.0056947802499203734,24.1
1995-02-28,-0.023979203535533955,-0.023693986739899198,0.01808601466703795,22.4
1995-03-31,0.16365072150717097,0.17780286203255224,0.0133778888774977,21.3
1995-04-30,-0.10931523264986698,-0.10355221665739145,0.008281193828756776,20.7
1995-05-31,0.18890123459094443,0.2079216457158617,0.14838732852835482,20.3
1995-06-30,-0.1051686104108489,-0.09982726870422942,0.009183175522643425,18.2
1995-07-31,0.09806286872377346,0.10303212915093996,0.011752013345689843,16.7
1995-08-31,0.03990891874661795,0.04071598015958644,0.006994757443028587,14.5
1995-09-30,-0.001991288772492439,-0.001989307472336499,0.004119455224472625,13.2
1995-10-31,-0.007098484399481464,-0.00707334966709583,0.006858175268203373,12.1
1995-11-30,-0.11227420327091941,-0.10620085875202112,0.0035713867142693765,11.2
1995-12-31,-0.14375734200770385,-0.13390211186324363,0.004398996210930516,10.1
1996-01-31,-0.03284084851443758,-0.0323074429577338,0.007718810257390612,9.0
1996-02-29,0.028599845252879064,0.029012747743556444,0.0018915950644336646,9.3
1996-03-31,0.0062199906662119275,0.006239374977393464,0.011639695236210185,9.8
1996-04-30,0.2023277399521506,0.22424917773504172,0.02306492562048524,9.7
1996-05-31,-0.056642127052760394,-0.05506782547419098,0.01150179323739209,8.9
1996-06-30,0.22275506601349182,0.24951448768740714,0.014918388065394183,8.6
1996-07-31,0.02241400011532768,0.022667081131489297,0.014585447457843556,8.3
1996-08-31,-0.015363995385672347,-0.0152465713451998,0.005817377593306645,8.1
1996-09-30,0.07786924642368298,0.08098130725732733,0.010684078831463448,7.4
1996-10-31,0.1093603636869549,0.11556428677486807,0.009235176337763409,7.0
1996-11-30,0.05598428427820945,0.05758106295625143,0.015339432040551458,6.9
1996-12-31,-0.11904478296819576,-0.11223195701631306,0.054736686275010514,7.0
1997-01-31,0.050729352714932396,0.0520381234869467,0.0034877022909230774,5.9
1997-02-28,0.0753769388414165,0.07829052387171709,0.01749078448624873,5.6
1997-03-31,0.171282935581603,0.18682649696713316,0.00749813591155917,4.0
1997-04-30,0.12123472580103467,0.1288898608478728,0.0042064986182308705,3.2
1997-05-31,-0.08109916986807875,-0.0778977578475335,0.028784655754576668,2.8
1997-06-30,-0.02753925836864468,-0.027163510169781913,0.011439923172414303,2.8
1997-07-31,-0.049607921878680905,-0.048397546130035884,0.010671507893959114,2.7
1997-08-31,0.025967727859486978,0.026307826788595445,0.006103849327512128,1.9
1997-09-30,-0.10679381338891858,-0.10128904394542382,0.015769749660392355,1.8
1997-10-31,0.07291937176479912,0.07564380615648125,0.007149071471668307,1.5
1997-11-30,-0.035141244024811336,-0.03453096010640533,0.0026671316224049753,1.1
1997-12-31,0.04668911523575758,0.04779621456086569,0.001625584265820181,0.4
1998-01-31,0.023840500906058715,0.024126957541245275,0.004473213939899163,0.3
1998-02-28,-0.013484793376559168,-0.013394280854683194,0.0012155250492371901,-0.1
1998-03-31,0.02979543141701413,0.030243756889592355,0.002421605138313296,0.7
1998-04-30,0.07769702965087788,0.0807951601744139,0.00266282281467116,-0.3
1998-05-31,0.04920656025849013,0.05043730693364101,0.001379760350337667,-1.0
1998-06-30,-0.0523750716600091,-0.0510271327442402,0.003312527815932011,-1.3
1998-07-31,-0.01677674395234252,-0.016636798088411342,0.0026391199633054815,-1.4
1998-08-31,-0.13534244837409037,-0.1265832396804667,0.014806127006367797,-1.4
1998-09-30,0.07749413034268748,0.08057588982977193,0.004064660955144105,-1.5
1998-10-31,-0.020795637667219147,-0.02058089950921238,0.0017832064760340636,-1.1
1998-11-30,0.024425697228609877,0.02472644826339887,0.0011620764201819087,-1.2
1998-12-31,-0.0841891662685974,-0.08074265283545234,0.0027481155319140256,-1.0
1999-01-31,-0.01054639230309018,-0.010490974099590544,0.002223073484517336,-1.2
1999-02-28,-0.04008159811925616,-0.03928895626041018,0.0015244095821354375,-1.3
1999-03-31,0.060477294471808385,0.06234347622673342,0.0018310256414037394,-1.8
1999-04-30,-0.03257885821749262,-0.032053883683778484,0.002966778207792717,-2.2
1999-05-31,0.13217780549620262,0.14131123263718504,0.01080522684712305,-2.2
1999-06-30,0.27805469054712617,0.32055841729655343,0.01827027009012201,-2.1
1999-07-31,-0.05347548076671682,-0.05207081678435943,0.019301474312250676,-1.4
1999-08-31,0.015895867724399437,0.016022879122800537,0.0028090369684795288,-1.3
1999-09-30,-0.03529020102825342,-0.0346747627710311,0.006046618806809616,-0.8
1999-10-31,-0.04302088321516351,-0.042108613993760424,0.006006183496131624,-0.6
1999-11-30,-0.04735655358197821,-0.046252725049183874,0.0014714898101177416,-0.9
1999-12-31,-0.04883267467249475,-0.04765953295190872,0.0017706043008225989,-1.0
2000-01-31,0.1162191126419474,0.12324196168537527,0.008258377912504661,-0.2
2000-02-29,0.11063777162715738,0.11699022801302972,0.013547476164722346,0.7
2000-03-31,0.04874072698949661,0.049948092244164854,0.007877369050716053,-0.2
2000-04-30,0.019854689294406924,0.020053104620546103,0.002493601477116412,-0.3
2000-05-31,0.031217774365941864,0.03171015944933342,0.0035152868425878496,0.1
2000-06-30,0.017558905186585427,0.01771396901638944,0.0013761980722673429,0.5
2000-07-31,0.048308204364837515,0.04949406413534452,0.0009408923909407599,0.5
2000-08-31,-0.0011570584319695598,-0.00115638929796269,0.001659443479043698,0.3
2000-09-30,-0.05650438625205023,-0.05493766079556728,0.002922145471801408,0.0
2000-10-31,0.026415411829710855,0.026767391213301517,0.0009431776717602834,0.0
